PlanName,DataEntryCode,source_IncomeStatement,notes_IncomeStatement,initials_IncomeStatement_check,FVChange_SecLend,expense_SecLendMgmtFees,FVChange_SecLend_UG,CAFR_check,AV_check,LastYearOfData_check,ppd_id,EEGroupID,TierID,fy,contrib_EE_regular,contrib_ER_regular,contrib_ER_state,contrib_EE_PurchaseService,contrib_EE_other,contrib_ER_other,contrib_other,contrib_tot,FairValueChange_investments,FairValueChange_RealEstate,income_interest,income_dividends,income_InterestAndDividends,income_RealEstate,income_PrivateEquity,income_alternatives,income_international,income_OtherInvestments,expense_RealEstate,expense_PrivateEquity,expense_alternatives,expense_OtherInvestments,expense_investments,income_SecuritiesLending,expense_SecuritiesLending,income_SecuritiesLendingRebate,income_OtherAdditions,income_net,expense_TotBenefits,expense_RetBenefits,expense_DisabilityBenefits,expense_DeathBenefits,expense_DROPBenefits,expense_SurvivorBenefits,expense_COLABenefits,expense_LumpSumBenefits,expense_OtherBenefits,expense_refunds,expense_AdminExpenses,expense_Depreciation,expense_OtherDeductions,expense_net,adjustment_MktAssets,MktAssets_net
Massachusetts Teachers,,MA State CAFR  PRIT CAFR,See Massachussets Income Statement Excel Worksheet. Market Assets  Contributions  and Benefits from MA State CAFR. MA State CAFR reports total investment earnings  but does not detail the specific investment income and expenses  nor securities lending. The detailed investment earnings data are estimated by scaling the detailed investment data reported in the PRIT CAFR to be equal the total investment earnings reported in the MA State CAFR.,JP,,,,1,,,51,0,0,2010,933274,593147,,,,,,1526421,1665814,,143113,211946,355058,91370,,26262,,2198,,,,,-27814,,,,,3639309,-2146929,-2146929,,,,,,,,,-15831,,-126871,-2289631,,18659905
Massachusetts Teachers,,MA State CAFR  PRIT CAFR,See Massachussets Income Statement Excel Worksheet. Market Assets  Contributions  and Benefits from MA State CAFR. MA State CAFR reports total investment earnings  but does not detail the specific investment income and expenses  nor securities lending. The detailed investment earnings data are estimated by scaling the detailed investment data reported in the PRIT CAFR to be equal the total investment earnings reported in the MA State CAFR.,JP,,,,,,,51,0,0,2011,976491,616533,,,,,,1593024,3499283,,154837,274706,429543,89101,,43878,,61,,,,,-30432,,,,,5624458,-2197622,-2197622,,,,,,,,,-16777,,-121290,-2335689,-52298,21896376
Massachusetts Teachers,,MA State CAFR  PRIT CAFR,See Massachussets Income Statement Excel Worksheet. Market Assets  Contributions  and Benefits from MA State CAFR. MA State CAFR reports total investment earnings  but does not detail the specific investment income and expenses  nor securities lending. The detailed investment earnings data are estimated by scaling the detailed investment data reported in the PRIT CAFR to be equal the total investment earnings reported in the MA State CAFR.,JP,,,,,,,51,0,0,2012,939945,640056,,,,,,1580001,-681256,,154639,301615,456255,95671,,35683,,-2135,,,,,-30778,,,,,1453441,-2330836,-2330836,,,,,,,,,-14958,,-90399,-2436193,,20913624
Massachusetts Teachers,,MA State CAFR  PRIT CAFR,See Massachussets Income Statement Excel Worksheet. Market Assets  Contributions  and Benefits from MA State CAFR. MA State CAFR reports total investment earnings  but does not detail the specific investment income and expenses  nor securities lending. The detailed investment earnings data are estimated by scaling the detailed investment data reported in the PRIT CAFR to be equal the total investment earnings reported in the MA State CAFR.,MCC,,,,,,,51,0,0,2013,937066,642718,,,,,251933,1831717,1954408,,151434,271746,423180,94080,,70686,,-781,,,,,-31099,,,,,4342191,-2517231,-2517231,,,,,,,,,-38820,,-2462,-2558513,,22697302
Massachusetts Teachers,,MA State CAFR  PRIT CAFR,See Massachussets Income Statement Excel Worksheet. Market Assets  Contributions  and Benefits from MA State CAFR. MA State CAFR reports total investment earnings  but does not detail the specific investment income and expenses  nor securities lending. The detailed investment earnings data are estimated by scaling the detailed investment data reported in the PRIT CAFR to be equal the total investment earnings reported in the MA State CAFR.,MCC,,,,,,,51,0,0,2014,0,653328,,,,,1109077,1762405,3186232,,150465,293416,443881,101184,,72232,,3660,,,,,-35307,,,,,5534288,-2551737,-2551737,,,,,,,,,-41675,,-99532,-2692944,,25538646
Massachusetts Teachers,,MA State CAFR  PRIT CAFR,See Massachussets Income Statement Excel Worksheet. Market Assets  Contributions  and Benefits from MA State CAFR. MA State CAFR reports total investment earnings  but does not detail the specific investment income and expenses  nor securities lending. The detailed investment earnings data are estimated by scaling the detailed investment data reported in the PRIT CAFR to be equal the total investment earnings reported in the MA State CAFR.,MCC,,,,,,,51,0,0,2015,0,669941,109485,,,,1103370,1882796,335313,,110157,265470,375627,106175,,61577,,4834,,,,,-40031,2293,-285,,,2728299,-2684049,-2684049,,,,,,,,,-23444,,-130384,-2837877,,25429068
Massachusetts Teachers,,MA State CAFR  PRIT CAFR,See Massachussets Income Statement Excel Worksheet. Market Assets  Contributions  and Benefits from MA State CAFR. MA State CAFR reports total investment earnings  but does not detail the specific investment income and expenses  nor securities lending. The detailed investment earnings data are estimated by scaling the detailed investment data reported in the PRIT CAFR to be equal the total investment earnings reported in the MA State CAFR.,CM,,,,,,,51,0,0,2016,0,699422,120434,,,,1206945,2026801,-100084,,116655,278545,395200,120854,,59524,,6613,,,,,-45334,5226,-637,,,2468164,-2791011,-2791011,,,,,,,,,-24220,,-139929,-2955160,,24942072
Michigan Municipal,,,,kn,,-434.226999999999,,,,,52,0,0,2001,32163.587,121939.889,,,,,,154103.476,-173191.745,,65499.175,23565.838,89065.01300000001,2351.098,,,,471.718,,,,,-8288.703999999991,11848.2909999999,-10835.069,-10400.842,1070.24,66594.3179999999,-182272.551,-182272.551,,,,,,,,-5413.698,-5756.72199999999,,-14216.949,-207659.92,,3647820.86899999
Michigan Municipal,,,,kn,,-343.023,,,,,52,0,0,2002,39625.328,127802.23,,,,,,167427.557999999,-392267.847,,45714.6619999999,30999.53,76714.19199999989,3852.327,,,,770.744,,,,,-8882.63899999999,4902.23099999999,-4098.408,-3755.385,1085.88699999999,-150495.954999999,-200793.802,-200793.802,,,,,,,,-3732.737,-7002.94599999999,,-491.096,-212020.581,,3285304.333
Michigan Municipal,,,,kn,,-354.454,,,,,52,0,0,2003,62421.75,161028.643,,,,,,223450.393,736699.848,,43599.8419999999,23123.127,66722.9689999999,4151.174,,,,704.732999999999,,,,,-9738.80899999999,5294.319,-4467.121,-4112.667,822.346999999999,1023639.853,-221137.611999999,-221137.611999999,,,,,,,,-3542.264,-8049.5,,-4217.63,-236947.005999999,,4071997.18
Michigan Municipal,,,,kn,,-446.855999999999,,,,,52,0,0,2004,55408.705,167942.935999999,,,,,,223351.641,526860.97,,41906.1679999999,23447.373,65353.5409999999,4727.76199999999,,,,478.38,,,,,-12061.6489999999,7513.23099999999,-6171.891999999999,-5725.036,819.466,810871.45,-247454.263,-247454.263,,,,,,,,-5252.652,-9957.057000000001,,-708.997,-263372.968999999,,4619495.661
Michigan Municipal,,,,kn,,-533.538,,,,,52,0,0,2005,71324.90300000001,207123.552,,,,,,278448.455,227123.929,,46459.232,29773.002,76232.234,4538.595999999991,,,,229.938999999999,,,,,-16500.4749999999,22620.518,-20484.7269999999,-19951.1889999999,6020.448,578228.917,-274146.708999999,-274146.708999999,,,,,,,,-4157.567,-11557.044,,-421.263,-290282.582999999,,4907441.995
Michigan Municipal,,,,kn,,-630.532,,,,,52,0,0,2006,84124.39599999991,286227.456,,,,,,370351.852,551193.918999999,,49381.4219999999,34417.629,83799.05099999989,13445.618,,,,228.361999999999,,,,,-17032.361,43559.9389999999,-41035.591,-40405.059,790.788999999999,1005301.578,-304172.625,-304172.625,,,,,,,,-4711.03799999999,-12540.01,,-1277.208,-322700.880999999,,5590042.69199999
Michigan Municipal,,,,kn,,-840.312,,,,,52,0,0,2007,61771.74,320203.717999999,,,,,,381975.457999999,351789.125,,64095.023,48397.8819999999,112492.9049999999,8732.373999999991,,,,104.114,,,,,-21268.4789999999,44450.377,-41087.025,-40246.713,1067.367,838256.216,-339456.92,-339456.92,,,,,,,,-6875.901,-13903.553,,-1725.549,-361961.923,,6066336.985
Michigan Municipal,,,,kn,,-2137.04599999999,,,,,52,0,0,2008,64870.909,310716.723,,,,,,375587.631999999,-1675541.933,,91663.85799999991,59671.701,151335.5589999999,,,,,,,,,,-17725.7599999999,26026.659,-17478.23799999989,-15341.1919999999,56.587,-1157739.49399999,-372354.832999999,-372354.832999999,,,,,,,,-6944.841,-16364.8,,-672.0619999999999,-396336.536,,4512260.955
Michigan Municipal,,,,jp,,-1155.585,,,,,52,0,0,2009,62677.0559999999,350737.218999999,,,,,0,413414.275,690270.304,,71103.2609999999,39892.2289999999,110995.4899999998,860.5,,,,,,,,,-18020.598,7002.898,-2379.893,-1224.308,1070.596,1203213.57199999,-409867.136,-409867.136,,,,,,,,-9510.225,-18792.644,,-659.184,-438829.189,,5276645.338000001
Michigan Municipal,,,,cmg,,-823.456999999999,,1,1,,52,0,0,2010,83573.046,341354.194,,,,,,424927.24,668406.834999999,,60043.7529999999,41036.6489999999,101080.4019999998,859.5,,,,,,,,,-20093.4059999999,5545.53399999999,-2250.752999999999,-1427.296,462.612,1178937.96399999,-453186.777999999,-453186.777999999,,,,,,,,-7005.859,-20951.3719999999,,-1400.453,-482544.462,,5973038.83999999
Michigan Municipal,,,,cm,,-724.500999999999,,,,,52,0,0,2011,64789.695,298328.514,,,,,0,363118.208999999,54567.106,,53475.487,37890.141,91365.628,,,,,,,,,,-19164.4579999999,4151.34299999999,-1250.931999999999,-526.431,446.218999999999,493233.114999999,-497763.955,-497763.955,,,,,,,,-7956.336,-22069.613,,-577.792,-528367.696,,5937904.25899999
Michigan Municipal,,,Rounding error for reported total additions in CAFR,cm,,-866,,,,,52,0,0,2012,73133,783292,,,,,,856425,580402,,56802,44237,101039,,,,,,,,,,-16702,4805,-1336,-470,,1524728,-565235,-565235,,,,,,,,-460,-24412,,-71,-590178,,6872454
Michigan Municipal,,,,CM,,-1154,,,,,52,0,0,2013,88410,409563,,,,,,497973,906197,,56038,40597,96635,,,,,,,,,,-18930,6775,-2159,-1005,121,1486612,-662708,-662708,,,,,,,,,-20271,,-71,-683050,,7676016
Michigan Municipal,,2014 CAFR p 24,,CM,,-1411,,,,,52,0,0,2014,102446,523372,,,,,,625818,415623,,,,94415,,,,,,,,,,-16229,7770,-2126,-715,1801,1127072,-707268,-707268,,,,,,,,,-17804,,-18,-725090,,8077998
Michigan Municipal,,2015 CAFR p 24,,CM,,-897,,,,,52,0,0,2015,86553,635581,,,,,,722134,-209813,,,,82344,,,,,,,,,,-19399,4884,-1299,-402,2380,581231,-754978,-754978,,,,,,,,,-17665,,,-772643,,7886586
Michigan Municipal,,2016 MERS CAFR p24,,CC,,-1114,,,,,52,0,0,2016,87043,566815,,,,,,653858,784319,,,,93958,,,,,,,,,,-15253,7678,-3220,-2106,102,1521442,-917084,-917084,,,,,,,,,-17446,,,-934530,,8473498
Michigan Public Schools,,,,cmg,,,,,,,53,0,0,2001,371548.016,629924.8270000001,,,,,,1001472.843,-4526333.83399999,,,,,,,,,,-1431.018,,,,-51910.3859999999,49219.088,-45312.2629999999,,137.557999999999,-3574158.012,-1890812.4,-1890812.4,,,,,,,,-19835.7289999999,-17312.25,,,-1927960.379,,34810222.493
Michigan Public Schools,,,,cmg,,,,,,,53,0,0,2002,413163.870999999,603949.3269999999,,,,,,1017113.198,-3676420.24299999,,,,,,,,,,-369.521999999999,,,,-63652.97,34608.6449999999,-27732.628,,124.874,-2716328.646,-2041439.86299999,-2041439.86299999,,,,,,,,-20813.845,-23610.482,,,-2085864.19,,30008029.657
Michigan Public Schools,,,,cmg,,,,,,,53,0,0,2003,379084.549,697906.265,,,,,,1076990.814,4593907.34999999,,,,,,,,,,-982.4489999999991,,,,-63857.4539999999,17031.7949999999,-14069.331,,41.924,5609062.649,-2180574.193,-2180574.193,,,,,,,,-13642.3,-23016.963,,,-2217233.45599999,,33399858.85
Michigan Public Schools,,,,cmg,,,,,,,53,0,0,2004,456352.606,697647.338,,,,,,1153999.94399999,4189348.017,,,,,,,,,,-237.628999999999,,,,-61053.9159999999,23291.5819999999,-20737.696,,51.388,5284661.69,-2358216.07299999,-2358216.07299999,,,,,,,,-18397.0139999999,-19374.6729999999,,-25.927,-2396013.68699999,,36288506.853
Michigan Public Schools,,,,cmg,,,,,,,53,0,0,2005,368240.837,774277.7779999999,,,,,,1142518.615,4580597.331,,,,,,,,,,-517.602999999999,,,,-52583.5979999999,56948.5,-53845.116,,21.574,5673139.70299999,-2558017.71,-2558017.71,,,,,,,,-22061.718,-19997.954,,-119.593999999999,-2600196.97599999,,39361449.5799999
Michigan Public Schools,,,,cmg,,,,,,,53,0,0,2006,518599.72,995996.999,,,,,,1514596.719,4975920.70899999,,,,,,,,,,-325.680999999999,,,,-54782.035,156767.000999999,-150871.583,,471.732,6441776.86199999,-2761292.217,-2761292.217,,,,,,,,-23903.822,-22501.098,,-123.059,-2807820.196,,42995406.2459999
Michigan Public Schools,,,,cmg,,,,,,,53,0,0,2007,356761.212,835366.3820000001,,,,,,1192127.594,6262637.852,,,,961168.861999999,,,,,,-1011.213,,,,-67046.587,470628.987,-451816.635,,2559.268,8369248.12799999,-2944920.179,-2944920.179,,,,,,,,-32141.952,-24489.202,,-105.572,-3001656.90499999,,48362932.895
Michigan Public Schools,,,,cmg,,,,,,,53,0,0,2008,399256.615999999,999374.879,,,,,,1398631.495,-8337977.388,,,,867322.3860000001,,,,,,-166.293,,,,-98741.51700000001,317987.337999999,-270249.017999999,,980.317,-6122212.67999999,-3117434.847,-3117434.847,,,,,,,,-32612.927,-24740.628,,-190.357,-3174978.759,,39065741.456
Michigan Public Schools,,,,cmg,,,,,,,53,0,0,2009,357249.466,1000375.355,,,,,,1357624.821,-2676095.473,,,,,,,,,,-939.345,,,,-102978.747,128379.255999999,-61207.1569999999,,426.917,-1354789.72799999,-3278118.11599999,-3278118.11599999,,,,,,,,-33864.974,-22793.0109999999,,-93.408,-3334869.509,122297.3439999968,34498379.563
Michigan Public Schools,,,,jp,,,,1,1,,53,0,0,2010,377748.755,1001251.673,,,,,0,1379000.428,2871968.72899999,,,,754872.111999999,,,,,,-2006.675,,,,-128129.251,88594.30100000001,-22847.074,,590.322,4942042.892,-3525020.341,-3525020.341,,,,,,,,-33873.358,-26000.699,,-50.212,-3584944.61,,35855477.8449999
Michigan Public Schools,,,,cmg,,,,,,,53,0,0,2011,332209.134,1156060.903,,,,,,1488270.037,670314.954999999,,,,730519.917999999,,,,,,-1962.422,,,,-122942.825,71619.45299999991,-15805.411,,708.545,2820722.25,-3942027.10099999,-3942027.10099999,,,,,,,,-36591.0369999999,-22926.393,,-2.169,-4001546.7,,34674653.395
Michigan Public Schools,,,,cm,,,,,,,53,0,0,2012,335470.879,1454438.907,,,,,,1789909.786,4721486.30999999,,,,726712.471999999,,,,,,-1424.41,,,,-132227.967999999,82644.8589999999,-10694.376,,579.168,7176985.841,-4082242.506,-4082242.506,,,,,,,,-31865.1389999999,-37119.6299999999,,,-4151227.27499999,,37700411.961
Michigan Public Schools,,,,CM,,,,,,,53,0,0,2013,385007.587,1364136.462,,,,,,1749144.049,3956054.117,,,,949630.88,,,,,,-994.884,,,,-114492.259,78537.31600000001,-10172.364,,1356.254,6609063.109,-4238482.066,-4238482.066,,,,,,,,-30450.22,-25002.153,,-1.015,-4293935.454,,40015539.616
Michigan Public Schools,,2014 CAFR p 21,,CM,,,,,,,53,0,0,2014,405444,1600376,,,,,,2005819,5461865,,,,835369,,,,,,-1780,,,,-129768,74617,-49854,,2262,8198530,-4388329,-4388329,,,,,,,,-28841,-23711,,,-4440880,,43773189
Michigan Public Schools,,2015 CAFR p 21,,TP,,,,,,,53,0,0,2015,395722,1967610,,,,,,2363333,79836,,,,933155,,,,,,-871,,,,-126785,73370,-21043,,480,3301476,-4530915,-4530915,,,,,,,,-136901,-24487,,-1,-4692304,,42382361
Michigan Public Schools,,2016 CAFR p 21,,CM,,,,,,,53,0,0,2016,398893,2308657,,,,,,2707550,2242089,,,,930325,,,,,,-1018,,,,-142891,77899,-11710,,484,5802728,-4671300,-4671300,,,,,,,,-26994,-26213,,-3,-4724510,,43460579
Michigan SERS,,,UsetheDefinedBenefitCAFR,kn,,,,,,,54,0,0,2001,3341.38099999999,112299.808,,,,,,115641.189,-1249999.446,,,,,,,,,,-423.619,,,,-14945.646,13564.316,-12487.632,,1.571,-1148649.267,-478525.327999999,-478525.327999999,,,,,,,,-14.9,-4149.28399999999,,-76.79900000000001,-482766.310999999,,9616516.845000001
Michigan SERS,,,UsetheDefinedBenefitCAFR,kn,,,,,,,54,0,0,2002,173232.834999999,87486.1279999999,,,,,,260718.962999999,-989642.418999999,,,,,,,,,,-110.434,,,,-17873.614,9531.87999999999,-7638.094,,.245,-745013.473,-503453.879,-503453.879,,,,,,,,-4.87,-6432.819,,-13.461,-509905.028999999,-87486.128,8274112.21499999
Michigan SERS,,,UsetheDefinedBenefitCAFR,kn,,,,,,,54,0,0,2003,80185.47500000001,79291.845,,,,,,159477.32,1231817.382,,,,,,,,,,-283.622999999999,,,,-17330.4929999999,4483.644,-3668.982,,.261,1374495.509,-701664.432,-701664.432,,,,,,,,-117.595,-5192.03899999999,,-17367.057,-724341.123,,8924266.600999991
Michigan SERS,,,UsetheDefinedBenefitCAFR,kn,,,,,,,54,0,0,2004,37682.883,103873.293999999,,,,,,141556.177,1088355.189,,,,,,,,,,-70.1509999999999,,,,-15195.8619999999,6017.148,-5348.636,,24391.726,1239705.591,-731009.1090000001,-731009.1090000001,,,,,,,,-163.418,-4316.433,,-19.7079999999999,-735508.667999999,,9428463.524
Michigan SERS,,,UsetheDefinedBenefitCAFR,kn,,,,,,,54,0,0,2005,30395.04,256433.052,,,,,,286828.092,1181213.139,,,,,,,,,,-152.514999999999,,,,-13165.031,14504.4159999999,-13710.24,,122.169,1455640.03,-746673.263,-746673.263,,,,,,,,-291.591999999999,-4297.98499999999,,-15.051,-751277.890999999,,10132825.663
Michigan SERS,,,UsetheDefinedBenefitCAFR,kn,,,,,,,54,0,0,2006,9434.31,270705.016999999,,,,,,280139.326999999,1260667.439,,,,,,,,,,-94.039,,,,-13449.226,39745.998,-38253.881,,229.228,1528984.84599999,-767000.706,-767000.706,,,,,,,,-253.886,-4628.04299999999,,-2.64699999999999,-771885.282,,10889925.227
Michigan SERS,,,UsetheDefinedBenefitCAFR,kn,,,,,,,54,0,0,2007,19696.132,150858.505999999,,,,,,170554.638,1564590.781,,,,248765.76,,,,,,-276.483,,,,-16198.29,116786.647,-112080.389,,42175.599,2014318.263,-795842.013,-795842.013,,,,,,,,-222.038999999999,-5115.22599999999,,-7.56099999999999,-801186.839,,12103056.651
Michigan SERS,,,UsetheDefinedBenefitCAFR,kn,,,,,,,54,0,0,2008,5643.805,355732.114999999,,,,,,361375.92,-2060478.77799999,,,,226837.065999999,,,,,,-44.447,,,,-23556.218,77418.531,-65768.2189999999,,373.981,-1483842.164,-832553.1759999991,-832553.1759999991,,,,,,,,-290.778,-5048.737,,-83.13800000000001,-837975.829,,9781238.657999991
Michigan SERS,,,UsetheDefinedBenefitCAFR,kn,,,,,,,54,0,0,2009,6994.975,343787.485999999,,,,,,350782.461,,,,,-669845.949999999,,,,,,-252.959,,,,-25049.19,31681.437,-15121.17,,226.218,-327579.152999999,-870278.863,-870278.863,,,,,,,,-315.990999999999,-4865.232,,-50.048,-875510.133999999,5005.245000001043,8583154.616
Michigan SERS,,,UsetheDefinedBenefitCAFR,jp,,,,1,1,,54,0,0,2010,369952.868,26055.668,,,,,0,396008.536,700371.758999999,,,,198977.234,,,,,,-538.934999999999,,,,-31470.3329999999,21911.7069999999,-5740.487,,185.509,1279704.99,-917328.82,-917328.82,,,,,,,,-298.863,-5073.44599999999,,-16.504,-922717.633,,8940141.97299999
Michigan SERS,,,UsetheDefinedBenefitCAFR,cmg,,,,,,,54,0,0,2011,25830.556,424546.804999999,,,,,,450377.360999999,184704.283,,,,193147.734999999,,,,,,-529.841999999999,,,,-30612.948,17456.337,-3881.679,,148.328,810809.574999999,-1089822.87999999,-1089822.87999999,,,,,,,,-470.403,-6079.01699999999,,-4.583,-1096376.88299999,,8654574.66499999
Michigan SERS,,,UsetheDefinedBenefitCAFR,cm,,,,,,,54,0,0,2012,33290.784,419926.996999999,,,,,,453217.781,1165850.192,,,,179618.668,,,,,,-367.382999999999,,,,-32459.357,19887.3,-2604.12899999999,,96.45,1783239.522,-1156035.45099999,-1156035.45099999,,,,,,,,-188.925999999999,-9253.87999999999,,,-1165478.257,,9272335.92999999
Michigan SERS,,,,CM,,,,,,,54,0,0,2013,53035.321,604845.495,,,,,,657880.816,966196.191,,,,231505.731,,,,,,-242.618,,,,-27992.928,18746.298,-2486.485,,256.99,1843863.995,-1187911.357,-1187911.357,,,,,,,,-105.257,-5658.318,,-8.795999999999999,-1193683.728,,9922516.197000001
Michigan SERS,,,,CM,,,,,,,54,0,0,2014,47527,705100,,,,,,752628,1349252,,,,206964,,,,,,-441,,,,-32199,18326,-12319,,43,2282254,-1222881,-1222881,,,,,,,,-152,-6931,,,-1229964,,10974806
Michigan SERS,,2015 CAFR p 21,,TP,,,,,,,54,0,0,2015,46688,749487,,,,,,796176,18502,,,,233379,,,,,,-218,,,,-31826,18118,-5367,,55,1028819,-1265335,-1265335,,,,,,,,-144,-6228,,,-1271707,,10731918
Michigan SERS,,2016 CAFR p 21,,CM,,,,,,,54,0,0,2016,46666,716465,,,,,,763131,566541,,,,235243,,,,,,-258,,,,-36186,19106,-2917,,123,1544782,-1289598,-1289598,,,,,,,,-130,-6629,,,-1296357,,10980343
Minneapolis ERF,,,MinneapolisERFCAFR,kn,,-83.355,,,,,55,0,0,2001,5368.087,11233.852,3707.72899999999,,,,,20309.668,-140820.233,,37140.076,6842.86099999999,43982.93699999999,,,,,1.77499999999999,,,,,-5179.03099999999,5571.679,-5377.185,-5293.78899999999,-.041,-81510.39,-120422.501,-120422.501,,,,,,,,-647.619,-699.869,,,-121769.989,,1463731.615
Minneapolis ERF,,,MinneapolisERFCAFR,kn,,-67.7579999999999,,,,,55,0,0,2002,4779.661,12260.956,3232,,,,,20272.6169999999,-124125.897,,22010.3669999999,4457.625,26467.9919999999,,,,,-74.12600000000001,,,,,-4190.89599999999,1728.375,-1570.27299999999,-1502.488,-.027,-81492.2079999999,-130781.443,-130781.443,,,,,,,,-388.973999999999,-748.18,,,-131918.597,,1250320.81
Minneapolis ERF,,,MinneapolisERFCAFR,kn,,-32.1679999999999,,,,,55,0,0,2003,4167.29799999999,38102.47,6632,,,,,48901.7679999999,-2175.693,,19176.615,5749.808,24926.423,,,,,80.688,,,,,-3252.744,723.687999999999,-648.629,-616.461,,68555.501,-134409.190999999,-134409.190999999,,,,,,,,-356.839,-737.2000000000001,,,-135503.23,11567.43999999994,1194940.52099999
Minneapolis ERF,,,MinneapolisERFCAFR,kn,,-54.4369999999999,,,,,55,0,0,2004,3342.96,38366.0109999999,7093,,,,,48801.9709999999,161290.208,,14204.694,5763.08899999999,19967.78299999999,,,,,.358999999999999,,,,,-3885.87199999999,1209.377,-1071.161,-1016.703,-.021,226312.665,-137238.098,-137238.098,,,,,,,,-579.783,-717.952,,,-138535.833,,1282717.35299999
Minneapolis ERF,,,MinneapolisERFCAFR,kn,,-62.637,,,,,55,0,0,2005,3086.57099999999,11330.441,8064.635,,,,,22481.647,109575.024999999,,13858.168,4456.469,18314.637,,,,,.701999999999999,,,,,-3635.973,2203.24899999999,-2054.484,-1991.847,,146884.803,-140515.684,-140515.684,,,,,,,,-248.876,-731.566,,,-141496.125999999,,1288106.03
Minneapolis ERF,,,MinneapolisERFCAFR,kn,,-79.521,,,,,55,0,0,2006,2312.034,35953.2439999999,9000,,,,,47265.2779999999,107614.89,,15180.9349999999,4195.03099999999,19375.96599999989,,,,,.15,,,,,-3271.32499999999,7022.747,-6823.318,-6743.797,,171184.388,-143899.636999999,-143899.636999999,,,,,,,,-588.258,-792.8429999999991,,,-145280.738,,1314009.68
Minneapolis ERF,,,MinneapolisERFCAFR,kn,,-83.5979999999999,,,,,55,0,0,2007,1665.15,19545.1759999999,9000,,,,,30210.326,191951.005999999,,15628.634,4942.65499999999,20571.28899999999,,,,,.2,,,,,-3367.78699999999,13339.727,-13143.212,-13059.614,,239561.549,-147030.771,-147030.771,,,,,,,,-165.542,-665.280999999999,,,-147861.594,,1405709.635
Minneapolis ERF,,,MinneapolisERFCAFR,kn,,-371.6,,,,,55,0,0,2008,1431.24499999999,6405.104,8866.51,,,,,16702.859,-80028.792,,17353.041,3582.369,20935.41,,,,,.15,,,,,-3075.509,10301.4079999999,-9430.67,-9059.07,,-44595.144,-148221.483,-148221.483,,,,,,,,-727.130999999999,-690.456,,-155.139999999999,-149794.21,,1211320.281
Minneapolis ERF,,,MinneapolisERFCAFR,jp,,-315.701,,,,,55,0,0,2009,1072.13,6645.52599999999,9000,,,,,16717.6559999999,-231292.758,,6610.60599999999,481.51,7092.11599999999,,,,,,,,,,-579.41,3664.436,-2071.27399999999,-1755.573,,-206469.234,-148745.035,-148745.035,,,,,,,,-88.2789999999999,-760.692,,-1881.569,-151475.575,,853375.471999999
Minneapolis ERF,,,MinnesotaPERACAFR,jp,,-93,,1,1,,55,0,0,2010,4798,1081,9000,,,,,14879,103547,,11472,11648,23120,,,,,,,,,,-1486,769,-240,-147,,140589,-147099,-147099,,,,,,,,-27,-1235,,-1571,-149932,,844033
Minneapolis ERF,,,MinnesotaPERACAFR,gl,,-179,,,,,55,0,0,2011,767,5105,22750,,,,,28622,183630,,,,,,,,,,,,,,-1237,502,-235,-56,44,211326,-143961,-143961,,,,,,,,-178,-233,,,-144372,,910987
Minneapolis ERF,,,MinnesotaPERACAFR p 27,cm,,-243,,,,,55,0,0,2012,564,31623,22750,,,,,54937,18911,,,,,,,,,,,,,,-1079,628,-261,-18,207,73343,-140709,-140709,,,,,,,,-638,-172,,,-141519,,842811
Minneapolis ERF,,,,CM,,-198,,,,,55,0,0,2013,24000,31447,426,,,,,55873,108868,,,,,,,,,,,,,,-1118,598,-232,-34,8,163997,-137807,-137807,,,,,,,,-57,-131,,,-137995,,868813
Minneapolis ERF,,2014 PERA CAFR p 27,,CM,,-169,,,,,55,0,0,2014,24000,31426,370,,,,,55796,146829,,,,,,,,,,,,,,-1227,529,-174,-5,39,201792,-134466,-134466,,,,,,,,-47,-146,,,-134659,,935946
Minnesota PERF,,,MinnesotaPERACAFR,cmg,,-1739,,,,,56,0,0,2001,173380,188208,,,,,,361588,-1746031,,107375,117710,225085,,,,,,,,,,-6712,59671,-54661,-52922,770206,-390854,-592210,-592210,,,,,,,,-18768,-8344,,-2441,-621763,,9930076
Minnesota PERF,,,MinnesotaPERACAFR,cmg,,-1992,,,,,56,0,0,2002,191422,206982,,,,,,398404,-1528313,,92252,95738,187990,,,,,,,,,,-6099,24384,-18481,-16489,578892,-363223,-642088,-642088,,,,,,,,-16267,-8680,,-2356,-669391,,8897462
Minnesota PERF,,,MinnesotaPERACAFR,cmg,,-1194,,,,,56,0,0,2003,205963,221689,,,,,,427652,-284280,,54738,46848,101586,,,,,,,,,,-12031,13572,-10065,-8871,394596,631030,-664459,-664459,,,,,,,,-18242,-8628,,-1374,-692703,,8835789
Minnesota PERF,,,MinnesotaPERACAFR,cmg,,-995,,,,,56,0,0,2004,215697,225744,,,,,,441441,842489,,55265,65765,121030,,,,,,,,,,-12899,11849,-8566,-7571,485188,1880532,-687124,-687124,,,,,,,,-22556,-8830,,-2725,-721235,,9995086
Minnesota PERF,,,MinnesotaPERACAFR,cmg,,-1084,,,,,56,0,0,2005,216701,232963,,,,,,449664,381565,,62907,87419,150326,,,,,,,,,,-14524,30442,-26789,-25705,531082,1501766,-715043,-715043,,,,,,,,-24952,-9118,,-2040,-751153,,10745699
